# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
122.14,107.82,-11.541,-5.4826
122.51,103.83,-10.038,4.0636
122.85,100.13,-11.668,-4.775
123.18,96.491,-10.047,4.8407
123.53,92.772,-11.661,-4.7111
123.76,90.131,-10.448,5.0807
124.26,84.603,-11.665,-2.4336
124.58,81.21,-10.147,4.8792
124.94,77.231,-11.647,-4.1087
125.28,73.536,-10.034,4.7332
125.62,69.825,-11.667,-4.7758
125.92,66.533,-10.182,4.9296
126.34,61.994,-11.816,-3.961
126.57,59.371,-10.405,5.98
127.07,53.831,-11.757,-2.705
127.24,51.929,-10.715,6.1577
127.62,47.801,-10.957,-0.6375
128.12,42.387,-10.701,0.51355
128.62,36.912,-11.196,-0.98995
128.96,33.266,-10.445,2.2286
129.46,27.737,-11.67,-2.4509
129.79,24.12,-10.03,4.9206
130.13,20.492,-11.617,-4.7363
130.44,17.144,-10.179,4.682
130.84,12.661,-11.782,-3.9274
131.13,9.4863,-10.145,5.6517
131.48,5.7527,-11.524,-4.0001
131.85,1.8019,-10.033,4.0672
# Event GROUND_HIT occurred at t=132.17 seconds
132.17,-1.7491,-11.569,-4.6737
132.17,0,0,0
